Código Voluntário;Gênero;Função;Data Início CPM;Turma Atual;Comprometimento;Nível Máximo de Conhecimento;Preferência de Período;Preferência de Turma;Preferência de Faixa Etária
1;Feminino;Volunteacher;2017,1;A.1;7,56;E;Indiferente;Indiferente;Indiferente
2;Masculino;Volunteacher;2017,2;A.2;7,04;B;Indiferente;Acompanhar meus alunos;Adulto
3;Feminino;Volunteacher;2018,1;B.2;5,77;B;Manhã;Indiferente;Indiferente
4;Masculino;Volunteacher;2018,1;Teens 4.1.1;6,13;H;Manhã;Indiferente;Indiferente
6;Feminino;Volunteacher;2016,2;A.1;7,87;B;Tarde;Permanecer no mesmo nível;Indiferente
7;Feminino;Volunteacher;2018,1;A.2;5,66;B;Tarde;Indiferente;Adulto
8;Feminino;Volunteacher;2017,1;E.1;7,42;F;Manhã;Permanecer no mesmo nível;Indiferente
9;Feminino;Volunteacher;2017,2;Teens 1.1.1;7,06;F;Indiferente;Acompanhar meus alunos;Adolescente
10;Feminino;Volunteacher;2017,2;F.1;7;F;Manhã;Indiferente;Indiferente
11;Feminino;Volunteacher;2017,2;C.2;6,56;D;Indiferente;Indiferente;Adulto
12;Feminino;Volunteacher;2018,1;Teens 4.1.1;6,38;D;Indiferente;Permanecer no mesmo nível;Indiferente
13;Feminino;Volunteacher;2018,1;Teens 3.1.1;6,24;D;Indiferente;Indiferente;Indiferente
14;Masculino;Volunteacher;2018,1;B.3;6,19;C;Manhã;Indiferente;Adolescente
15;Masculino;Volunteacher;2016,2;C.1;7,75;D;Tarde;Permanecer no mesmo nível;Indiferente
16;Masculino;Volunteacher;2016,2;Teens 1.1.1;7,87;G;Tarde;Indiferente;Indiferente
18;Masculino;Volunteacher;2014,1;G.1;9,24;G;Indiferente;Acompanhar meus alunos;Indiferente
19;Feminino;Volunteacher;2017,2;D.1;7,13;E;Tarde;Permanecer no mesmo nível;Indiferente
20;Feminino;Volunteacher;2017,1;E.2;7,4;F;Indiferente;Acompanhar meus alunos;Indiferente
21;Feminino;Volunteacher;2017,2;Teens 2.2.1;7,28;J;Tarde;Indiferente;Adolescente
22;Feminino;Volunteacher;2017,2;C.2;6,7;D;Manhã;Acompanhar meus alunos;Adolescente
23;Feminino;Volunteacher;2017,1;E.2;7,43;H;Indiferente;Indiferente;Adolescente
24;Feminino;Volunteacher;2017,2;Teens 2.1.1;7,28;D;Manhã;Acompanhar meus alunos;Adulto
25;Feminino;Volunteacher;2018,1;A.3;6;D;Tarde;Acompanhar meus alunos;Indiferente
26;Masculino;Volunteacher;2018,1;F.1;5,82;G;Manhã;Acompanhar meus alunos;Adolescente
27;Feminino;Volunteacher;2017,2;B.2;6,44;D;Indiferente;Indiferente;Adolescente
28;Feminino;Volunteacher;2017,1;B.3;7,41;C;Manhã;Permanecer no mesmo nível;Adolescente
29;Masculino;Volunteacher;2017,2;C.3;6,79;H;Tarde;Permanecer no mesmo nível;Adolescente
30;Feminino;Volunteacher;2017,2;A.1;6,74;C;Manhã;Indiferente;Adolescente
31;Feminino;Volunteacher;2017,1;Teens 1.2.1;7,49;B;Indiferente;Indiferente;Indiferente
32;Feminino;Volunteacher;2015,2;Teens 2.1.1;8,44;G;Indiferente;Indiferente;Adolescente
33;Feminino;Volunteacher;2018,1;B.1;5,18;H;Indiferente;Indiferente;Adolescente
34;Masculino;Volunteacher;2018,1;Teens 1.2.1;5,71;D;Tarde;Acompanhar meus alunos;Indiferente
35;Feminino;Volunteacher;2017,2;D.2;7,24;G;Tarde;Acompanhar meus alunos;Indiferente
36;Feminino;Volunteacher;2018,1;Teens 4.1.1;6,28;E;Indiferente;Permanecer no mesmo nível;Adolescente
37;Feminino;Volunteacher;2016,1;Teens 1.2.1;7,92;C;Manhã;Acompanhar meus alunos;Indiferente
38;Feminino;Volunteacher;2017,2;C.1;7,08;D;Tarde;Acompanhar meus alunos;Indiferente
39;Feminino;Volunteacher;2016,2;D.3;7,82;E;Manhã;Acompanhar meus alunos;Indiferente
40;Masculino;Volunteacher;2018,1;Teens 1.2.1;5,06;J;Indiferente;Permanecer no mesmo nível;Adulto
41;Masculino;Volunteacher;2017,2;B.2;7,02;I;Tarde;Acompanhar meus alunos;Indiferente
43;Masculino;Volunteacher;2018,1;B.1;6,13;C;Manhã;Permanecer no mesmo nível;Adulto
44;Feminino;Volunteacher;2017,2;A.2;6,61;F;Manhã;Indiferente;Indiferente
45;Masculino;Volunteacher;2018,1;B.2;6;C;Tarde;Acompanhar meus alunos;Indiferente
46;Feminino;Volunteacher;2018,1;F.1;5,75;H;Manhã;Acompanhar meus alunos;Adolescente
47;Masculino;Volunteacher;2017,2;F.1;7,17;G;Tarde;Acompanhar meus alunos;Indiferente
48;Masculino;Volunteacher;2018,1;C.1;6,09;D;Tarde;Acompanhar meus alunos;Adulto
50;Feminino;Volunteacher;2017,1;Teens 2.1.1;7,53;I;Tarde;Indiferente;Adolescente
51;Feminino;Volunteacher;2014,1;C.3;9,37;E;Manhã;Permanecer no mesmo nível;Adulto
52;Feminino;Volunteacher;2016,2;D.3;7,9;D;Manhã;Indiferente;Indiferente
53;Feminino;Volunteacher;2018,1;Teens 3.1.1;6,18;F;Tarde;Permanecer no mesmo nível;Adulto
54;Feminino;Volunteacher;2017,2;A.3;6,4;B;Tarde;Acompanhar meus alunos;Indiferente
55;Feminino;Volunteacher;2015,2;A.1;8,73;E;Manhã;Acompanhar meus alunos;Adulto
56;Feminino;Volunteacher;2017,2;D.3;6,87;E;Manhã;Permanecer no mesmo nível;Adolescente
57;Masculino;Volunteacher;2018,1;A.3;6;B;Indiferente;Indiferente;Indiferente
58;Masculino;Volunteacher;2018,1;Teens 4.1.1;5,97;I;Indiferente;Indiferente;Adulto
59;Feminino;Volunteacher;2017,2;A.3;6,81;I;Tarde;Acompanhar meus alunos;Adulto
60;Feminino;Volunteacher;2017,2;Teens 1.1.1;7,22;B;Tarde;Indiferente;Indiferente
61;Feminino;Volunteacher;2017,2;Teens 2.2.1;6,73;H;Indiferente;Indiferente;Adolescente
62;Feminino;Volunteacher;2017,2;E.1;6,55;E;Tarde;Acompanhar meus alunos;Adolescente
63;Feminino;Volunteacher;2015,2;B.3;8,47;C;Manhã;Acompanhar meus alunos;Indiferente
64;Masculino;Volunteacher;2017,1;E.1;7,55;G;Tarde;Acompanhar meus alunos;Adolescente
65;Masculino;Volunteacher;2017,1;G.1;7,52;G;Tarde;Indiferente;Indiferente
66;Feminino;Volunteacher;2018,1;D.2;6,01;E;Indiferente;Indiferente;Adulto
67;Feminino;Volunteacher;2016,2;Teens 1.1.1;7,78;F;Manhã;Acompanhar meus alunos;Adolescente
68;Feminino;Volunteacher;2018,1;Teens 4.1.1;6,28;E;Indiferente;Permanecer no mesmo nível;Indiferente
69;Feminino;Volunteacher;2018,1;C.1;5,97;D;Tarde;Indiferente;Adolescente
70;Feminino;Volunteacher;2015,1;Teens 1.2.1;9,02;I;Manhã;Indiferente;Indiferente
71;Masculino;Volunteacher;2018,1;Teens 3.1.1;6,33;D;Indiferente;Indiferente;Indiferente
72;Feminino;Volunteacher;2017,2;C.3;6,92;D;Manhã;Permanecer no mesmo nível;Adolescente
73;Masculino;Volunteacher;2016,1;A.1;7,97;F;Tarde;Acompanhar meus alunos;Adolescente
74;Feminino;Volunteacher;2015,2;A.3;8,73;F;Manhã;Permanecer no mesmo nível;Indiferente
75;Masculino;Volunteacher;2018,1;Teens 1.2.1;5,52;I;Manhã;Permanecer no mesmo nível;Indiferente
